seed,winner,win_turn,turns,life_p1,life_p2,life_p3,life_p4
1,P3,10,10,-7,-27,7,-13
2,P4,10,10,-1,-11,-13,27
3,P3,14,14,-3,0,34,-7
4,P1,9,9,37,0,-8,-25
5,P1,12,12,35,-10,-3,-32
6,P2,10,10,-36,21,0,-22
7,P2,13,13,-33,35,-4,-8
8,P4,12,12,0,0,-7,41
9,,,14,-23,15,42,0
10,P1,11,11,22,-1,0,-938
11,P2,11,11,-2,41,-42,-6
12,P1,10,10,36,-28,-10,-22
13,P2,11,11,0,38,-6,0
14,P4,11,11,-21,-6,-34,28
15,P2,11,11,-6,34,-9,-9
16,P1,10,10,7,-10,-3,-36
17,P3,11,11,0,-45,11,-9
18,P4,11,11,-28,-36,-39,34
19,P2,11,11,-2,19,-42,-2
20,P2,11,11,-25,9,-1,-3
