seed,winner,winner_deck,win_turn,turns,life_p1,life_p2,life_p3,life_p4
13,P3,ovika deck,11,11,0,-1,22,-1
14,P4,minstrel deck,14,14,-16,-35,-26,40
15,P3,nekusar deck,13,13,-1,-5,2,-7
16,P3,ovika deck,13,13,-6,-8,7,0
17,P1,nekusar deck,11,11,40,-14,-23,-8
18,P1,minstrel deck,11,11,11,-13,-22,-10
19,P1,ovika deck,12,12,40,-23,-5,-8
20,P3,nekusar deck,14,14,-5,-2,16,0
21,P3,nekusar deck,11,11,-9,0,36,-3
22,,,,14,18,20,10,0
23,,,,14,30,26,37,-10
24,P3,minstrel deck,11,11,-1,-1,15,0
25,P3,minstrel deck,13,13,0,0,3,-8
26,P1,minstrel deck,9,9,36,-11,-16,-14
27,,,,14,23,-1,3,6
28,P1,ovika deck,13,13,42,0,-28,-30
29,P4,minstrel deck,12,12,-1,-37,0,31
30,P2,minstrel deck,13,13,0,89,0,-22
31,,,,14,7,15,-3,-2
32,P3,kuja deck,11,11,-5,-7,39,-2
33,,,,14,26,0,20,35
34,P3,ovika deck,13,13,-9,-2,14,0
35,P1,kuja deck,11,11,15,-8,-11,0
36,P1,kuja deck,10,10,19,-7,-3,-2
