seed,winner,winner_deck,win_turn,turns,life_p1,life_p2,life_p3,life_p4
1,,,,14,0,-1,4,16
2,,,,14,16,38,26,38
3,,,,14,39,39,9,39
4,P2,ovika deck,12,12,0,22,0,-1
5,P3,ovika deck,10,10,-119,0,7,0
6,P2,nekusar deck,11,11,-1,7,-8,-2
7,P1,kuja deck,12,12,40,-94,-111,-61
8,P1,minstrel deck,10,10,11,-6,-4,-25
9,P1,nekusar deck,10,10,20,0,-14,-86
10,P1,ovika deck,12,12,7,-13,-30,-31
11,P3,minstrel deck,11,11,-3,0,42,-4
12,,,,14,-1,-1,32,18
13,P3,ovika deck,12,12,-2,-1,9,-19
14,P1,ovika deck,10,10,24,-4,-9,0
15,,,,14,0,40,32,27
16,P3,ovika deck,8,8,0,-1,38,-7
17,P1,nekusar deck,13,13,23,-38,-51,-34
18,,,,14,24,9,16,22
19,P3,kuja deck,13,13,-3,0,22,-3
20,P1,minstrel deck,11,11,5,-3,-8,0
21,P3,nekusar deck,11,11,-5,-2,38,-3
22,P2,ovika deck,12,12,-8,16,-32,-3
23,P3,ovika deck,10,10,0,-1,20,0
24,P1,nekusar deck,13,13,9,-10,-3,-3
25,,,,14,27,4,37,41
26,P4,kuja deck,13,13,-5,-2,-1,26
27,,,,14,-2,32,0,33
28,P3,kuja deck,10,10,0,-3,17,-2
29,P1,ovika deck,8,8,37,-15,-11,-51
30,P1,kuja deck,9,9,7,-38,-5,-4
31,P3,kuja deck,8,8,-7,-1,35,0
32,,,,14,11,22,-1,42
33,P3,nekusar deck,14,14,0,0,25,0
34,P1,kuja deck,11,11,40,-17,-17,-5
35,,,,14,40,39,36,28
36,,,,14,-1,20,-6,7
