0.0  Adventurer's Inn                                        Land
0.0  Animal Sanctuary                                        Land
0.0  Baron, Airship Kingdom                                  Land
0.0  Cascading Cataracts                                     Land
0.0  Command Bridge                                          Land
0.0  Command Tower                                           Land
0.0  Crossroads Village                                      Land
0.0  Eden, Seat of the Sanctum                               Land
0.0  Everflowing Chalice                        {0}          Artifact
0.0  Exotic Orchard                                          Land
0.0  Inventors' Fair                                         Legendary Land
0.0  Jidoor, Aristocratic Capital // Overture   {4}{U}{U}    Land
0.0  Krosan Verge                                            Land
0.0  Mirrorpool                                              Land
0.0  Mountain                                                Basic Land
0.0  Mystifying Maze                                         Land
0.0  Path of Ancestry                                        Land
0.0  Peculiar Lighthouse                                     Land
0.0  Power Depot                                             Artifact Land
0.0  Terrain Generator                                       Land
0.0  Terramorphic Expanse                                    Land
0.0  The Autonomous Furnace                                  Land
0.0  The Monumental Facade                                   Land
1.0  Aegis Turtle                               {U}          Creature
1.0  An Offer You Can't Refuse                  {U}          Instant
1.0  Aspirant's Ascent                          {U}          Instant
1.0  Atomic Microsizer                          {U}          Artifact
1.0  Basilisk Collar                            {1}          Artifact
1.0  Bear Trap                                  {1}          Artifact
1.0  Blacksmith's Talent                        {R}          Enchantment
1.0  Blazing Bomb                               {R}          Creature
1.0  Blazing Torch                              {1}          Artifact
1.0  Burst Lightning                            {R}          Instant
1.0  Clockwork Percussionist                    {R}          Artifact Creature
1.0  Coral Sword                                {R}          Artifact
1.0  Dragonfire Blade                           {1}          Artifact
1.0  Dragonstorm Forecaster                     {U}          Creature
1.0  Eidolon of Philosophy                      {U}          Enchantment Creature
1.0  Enter the Enigma                           {U}          Sorcery
1.0  Essence Flux                               {U}          Instant
1.0  Excalibur II                               {1}          Legendary Artifact
1.0  Font of Progress                           {U}          Artifact
1.0  Full Bore                                  {R}          Instant
1.0  Humbling Elder                             {U}          Creature
1.0  Inventor's Axe                             {R}          Artifact
1.0  Lightning Bolt                             {R}          Instant
1.0  Nutrient Block                             {1}          Artifact
1.0  Purphoros's Intervention                   {X}{R}       Sorcery
1.0  Ringing Strike Mastery                     {U}          Enchantment
1.0  Satyr's Cunning                            {R}          Sorcery
1.0  Sawblade Scamp                             {R}          Creature
1.0  Scrabbling Skullcrab                       {U}          Creature
1.0  Skullclamp                                 {1}          Artifact
1.0  Slagdrill Scrapper                         {R}          Artifact Creature
1.0  Sleep Magic                                {U}          Enchantment
1.0  Sleep of the Dead                          {U}          Sorcery
1.0  Sol Ring                                   {1}          Artifact
1.0  Soul-Guide Lantern                         {1}          Artifact
1.0  Spontaneous Mutation                       {U}          Enchantment
1.0  Stadium Headliner                          {R}          Creature
1.0  Stolen Uniform                             {U}          Instant
1.0  Surgical Skullbomb                         {1}          Artifact
